date,product_name,selling_price
2024-12-07,Boat Rockerz 450,"₹1,499"
2025-01-05,JBL Tune 500BT,"₹4,499"
2025-01-04,Sony WH-1000XM4,"₹29,990"
2024-12-19,Samsung Galaxy Buds 2,"₹6,990"
2024-12-20,Sennheiser Momentum 3,"₹21,990"
2024-12-12,Jabra Elite 75t,"₹13,999"
2024-12-18,Skullcandy Indy Evo,"₹3,999"
2024-12-21,Anker Soundcore Liberty Air 2,"₹4,499"
2024-12-22,Bose QuietComfort 35 II,"₹29,999"
2025-01-05,Sony WF-1000XM3,"₹9,999"
2025-01-06,Beats Solo3 Wireless,"₹15,999"
2024-12-11,Soundcore Life P2,"₹1,999"
2024-12-17,Marshall Major III,"₹7,499"
2024-12-27,Philips SHB3075,"₹3,299"
2024-12-17,Acer Predator Galea 500,"₹7,999"
2024-12-18,Razer Kraken BT,"₹6,499"
2024-12-17,Xiaomi Mi True Wireless Earphones 2,"₹4,999"
2024-12-18,Realme Buds Air 2,"₹3,499"
2024-12-30,Oppo Enco W51,"₹3,999"
2024-12-23,OnePlus Buds Z,"₹2,999"
2024-12-07,Tronsmart Apollo Bold,"₹6,999"
2024-12-26,Redmi Earbuds S,"₹1,299"
2024-12-13,Boat Airdopes 441,"₹1,699"
2024-12-25,Infinity (JBL) Glide 120,"₹3,199"
2024-12-20,Noise Shots X3 Bass,"₹2,999"
